boom_OD_mm,boom_wall_mm,strut_OD_mm,strut_wall_mm,frame_mass_kg,lg_mass_kg,total_mass_kg,frame_RF,lg_RF,min_RF,frame_VM_MPa,lg_VM_MPa,feasible
200.0,5.00,80.0,5.0,141.978,13.675,155.653,0.4547,0.5005,0.4547,769.65,1005.08,0
200.0,5.00,80.0,6.0,141.978,16.191,158.169,0.4547,0.5787,0.4547,769.65,869.22,0
200.0,5.00,80.0,7.0,141.978,18.635,160.613,0.4547,0.6505,0.4547,769.65,773.28,0
200.0,5.00,80.0,8.0,141.978,21.005,162.983,0.4547,0.7162,0.4547,769.65,702.32,0
200.0,5.00,80.0,9.0,141.978,23.302,165.280,0.4547,0.7762,0.4547,769.65,648.02,0
200.0,5.00,80.0,10.0,141.978,25.527,167.505,0.4547,0.8308,0.4547,769.65,605.42,0
200.0,5.00,80.0,11.0,141.978,27.678,169.656,0.4547,0.8804,0.4547,769.65,571.34,0
200.0,5.00,80.0,12.0,141.978,29.757,171.735,0.4547,0.9252,0.4547,769.65,543.66,0
200.0,5.00,90.0,5.0,141.978,15.498,157.476,0.4547,0.6431,0.4547,769.65,782.19,0
200.0,5.00,90.0,6.0,141.978,18.379,160.357,0.4547,0.7468,0.4547,769.65,673.57,0
200.0,5.00,90.0,7.0,141.978,21.187,163.165,0.4547,0.8430,0.4547,769.65,596.65,0
200.0,5.00,90.0,8.0,141.978,23.922,165.900,0.4547,0.9322,0.4547,769.65,539.57,0
200.0,5.00,90.0,9.0,141.978,26.584,168.562,0.4547,1.0147,0.4547,769.65,495.72,0
200.0,5.00,90.0,10.0,141.978,29.173,171.151,0.4547,1.0907,0.4547,769.65,461.15,0
200.0,5.00,90.0,11.0,141.978,31.690,173.668,0.4547,1.1607,0.4547,769.65,433.34,0
200.0,5.00,90.0,12.0,141.978,34.133,176.111,0.4547,1.2250,0.4547,769.65,410.61,0
200.0,5.00,100.0,5.0,141.978,17.322,159.300,0.4547,0.8026,0.4547,769.65,626.69,0
200.0,5.00,100.0,6.0,141.978,20.567,162.545,0.4547,0.9353,0.4547,769.65,537.81,0
200.0,5.00,100.0,7.0,141.978,23.740,165.718,0.4547,1.0595,0.4547,769.65,474.76,0
200.0,5.00,100.0,8.0,141.978,26.840,168.818,0.4547,1.1756,0.4547,769.65,427.87,0
200.0,5.00,100.0,9.0,141.978,29.866,171.844,0.4547,1.2840,0.4547,769.65,391.75,0
200.0,5.00,100.0,10.0,141.978,32.820,174.798,0.4547,1.3850,0.4547,769.65,363.18,0
200.0,5.00,100.0,11.0,141.978,35.701,177.679,0.4547,1.4790,0.4547,769.65,340.10,0
200.0,5.00,100.0,12.0,141.978,38.509,180.487,0.4547,1.5662,0.4547,769.65,321.16,0
200.0,5.00,110.0,5.0,141.978,19.145,161.123,0.4547,0.9789,0.4547,769.65,513.86,0
200.0,5.00,110.0,6.0,141.978,22.755,164.733,0.4547,1.1438,0.4547,769.65,439.75,0
200.0,5.00,110.0,7.0,141.978,26.293,168.271,0.4547,1.2994,0.4547,769.65,387.11,0
200.0,5.00,110.0,8.0,141.978,29.757,171.735,0.4547,1.4459,0.4547,769.65,347.89,0
200.0,5.00,110.0,9.0,141.978,33.148,175.126,0.4547,1.5836,0.4547,769.65,317.62,0
200.0,5.00,110.0,10.0,141.978,36.467,178.445,0.4547,1.7130,0.4547,769.65,293.63,0
200.0,5.00,110.0,11.0,141.978,39.712,181.690,0.4547,1.8344,0.4547,769.65,274.21,0
